year,country,suicides_no,gdp_for_year
1996,Brazil,6698,"850,426,432,992"
1996,Bulgaria,1526,"10,109,612,142"
1996,Canada,3941,"628,546,387,972"
1996,Chile,917,"78,039,572,222"
1996,Colombia,1209,"97,160,109,278"
1996,Costa Rica,209,"11,618,286,553"
1996,Croatia,1001,"23,678,012,697"
1996,Cuba,2014,"25,017,300,000"
1996,Czech Republic,1568,"66,985,765,439"
1996,Denmark,892,"187,632,400,366"
1996,Ecuador,593,"25,226,393,197"
1996,El Salvador,540,"9,586,327,800"
1996,Estonia,545,"4,746,109,767"
1996,Finland,1247,"132,099,404,608"
1996,France,11279,"1,605,675,086,550"
1996,Georgia,162,"3,094,915,506"
1996,Germany,12225,"2,503,665,193,657"
1996,Greece,356,"145,861,612,826"
1996,Grenada,1,"366,911,444"
1996,Guatemala,157,"15,674,835,615"
1996,Guyana,60,"705,406,001"
1996,Hungary,3436,"46,659,796,773"
1996,Iceland,33,"7,330,965,239"
1996,Ireland,408,"75,880,632,560"
1996,Israel,306,"109,957,321,960"
1996,Italy,4689,"1,308,929,351,236"
1996,Japan,21967,"4,833,712,542,207"
1996,Kazakhstan,4773,"21,035,357,833"
1996,Kiribati,6,"66,515,377"
1996,Kuwait,30,"31,493,987,642"
1996,Kyrgyzstan,480,"1,827,570,586"
1996,Latvia,922,"5,970,044,666"
1996,Lithuania,1722,"8,385,109,020"
1996,Luxembourg,72,"21,776,609,772"
1996,Malta,10,"3,570,271,558"
1996,Mauritius,153,"4,421,943,910"
1996,Mexico,3008,"410,975,595,310"
1996,Netherlands,1577,"445,704,575,163"
1996,New Zealand,540,"70,140,835,299"
1996,Norway,517,"163,517,783,497"
1996,Panama,113,"9,870,494,000"
1996,Paraguay,99,"9,788,391,733"
1996,Poland,5446,"159,942,880,457"
1996,Portugal,653,"122,629,812,841"
1996,Puerto Rico,331,"45,340,835,000"
1996,Republic of Korea,5857,"598,099,073,901"
1996,Romania,2828,"37,182,938,696"
1996,Russian Federation,57511,"391,719,993,757"
1996,Saint Lucia,7,"662,196,185"
1996,Saint Vincent and Grenadines,8,"331,489,704"
1996,Singapore,239,"96,403,758,865"
1996,Slovakia,672,"27,821,913,815"
1996,Slovenia,607,"21,480,023,017"
1996,South Africa,143,"147,607,982,695"
1996,Spain,3320,"640,998,292,395"
1996,Sri Lanka,4898,"13,897,738,375"
1996,Suriname,21,"860,630,923"
1996,Sweden,1253,"288,103,936,773"
1996,Switzerland,1432,"330,091,688,350"
1996,Thailand,4443,"183,035,154,107"
1996,Trinidad and Tobago,146,"5,759,537,726"
1996,Turkmenistan,283,"2,379,281,768"
1996,Ukraine,15160,"44,558,077,827"
1996,United Kingdom,4165,"1,408,781,591,264"
1996,United States,30879,"8,100,201,000,000"
1996,Uruguay,393,"20,515,543,039"
1996,Uzbekistan,1699,"13,948,892,216"
1997,Albania,170,"2,359,903,108"
1997,Argentina,2184,"292,859,000,000"
1997,Armenia,77,"1,639,492,424"
1997,Australia,2646,"434,568,007,513"
1997,Austria,1592,"212,790,348,405"
1997,Azerbaijan,107,"3,962,710,163"
1997,Bahamas,2,"6,332,360,000"
1997,Bahrain,0,"6,349,202,394"
1997,Belarus,3526,"14,128,408,566"
1997,Belgium,2146,"254,813,599,459"
1997,Belize,1,"654,314,350"
1997,Brazil,6891,"883,199,625,325"
1997,Bulgaria,1465,"11,195,612,105"
1997,Canada,3681,"652,825,364,726"
1997,Chile,910,"84,952,360,922"
1997,Colombia,1242,"106,659,508,271"
1997,Costa Rica,187,"12,552,071,367"
1997,Croatia,946,"23,822,087,053"
1997,Cuba,2029,"25,366,200,000"
1997,Czech Republic,1666,"61,792,161,168"
1997,Denmark,817,"173,537,588,008"
1997,Ecuador,579,"28,162,053,027"
1997,El Salvador,577,"10,221,705,900"
1997,Estonia,522,"5,066,240,419"
1997,Finland,1322,"126,833,123,354"
1997,France,11139,"1,452,884,917,959"
1997,Georgia,176,"3,510,540,809"
1997,Germany,12256,"2,218,689,375,141"
1997,Greece,374,"143,157,600,025"
1997,Guatemala,179,"17,790,026,222"
1997,Guyana,40,"749,138,010"
1997,Hungary,3208,"47,290,180,589"
1997,Iceland,33,"7,548,912,105"
1997,Ireland,466,"82,826,146,132"
1997,Israel,379,"114,724,862,034"
1997,Italy,4694,"1,239,050,932,242"
1997,Japan,23280,"4,414,732,843,544"
1997,Kazakhstan,4642,"22,165,932,063"
1997,Kiribati,5,"67,537,480"
1997,Kuwait,33,"30,354,434,553"
1997,Kyrgyzstan,496,"1,767,864,036"
1997,Latvia,886,"6,525,676,264"
1997,Lithuania,1632,"10,120,274,493"
1997,Luxembourg,81,"19,731,912,494"
1997,Malta,15,"3,705,372,039"
1997,Mauritius,122,"4,187,367,602"
1997,Mexico,3350,"500,413,483,109"
1997,Netherlands,1572,"412,199,006,099"
1997,New Zealand,562,"66,074,513,018"
1997,Norway,533,"161,354,369,893"
1997,Panama,145,"10,677,286,100"
1997,Paraguay,126,"9,965,225,497"
1997,Philippines,814,"82,344,260,571"
1997,Portugal,628,"117,046,198,971"
1997,Puerto Rico,273,"48,187,039,000"
1997,Republic of Korea,6024,"557,503,074,772"
1997,Romania,2859,"35,838,588,170"
1997,Russian Federation,54746,"404,926,534,140"
1997,Saint Lucia,9,"676,949,594"
1997,Saint Vincent and Grenadines,3,"347,770,000"
1997,Singapore,303,"100,163,995,151"
1997,Slovakia,630,"27,660,149,541"
1997,Slovenia,593,"20,749,140,606"
1997,South Africa,104,"152,586,154,514"
1997,Spain,3373,"588,692,045,455"
1997,Sri Lanka,5887,"15,091,913,884"
1997,Suriname,32,"929,607,500"
1997,Sweden,1201,"264,477,727,279"
1997,Switzerland,1341,"286,519,135,327"
1997,Thailand,4150,"150,180,268,649"
1997,Trinidad and Tobago,160,"5,737,751,332"
1997,Turkmenistan,333,"2,450,084,970"
1997,Ukraine,14903,"50,150,399,792"
1997,United Kingdom,4143,"1,552,483,628,029"
1997,United States,30517,"8,608,515,000,000"
1997,Uruguay,456,"23,969,823,010"
1997,Uzbekistan,1554,"14,744,603,774"
1998,Albania,154,"2,707,123,772"
1998,Antigua and Barbuda,0,"727,860,593"
1998,Argentina,2347,"298,948,250,000"
1998,Armenia,66,"1,893,726,437"
1998,Australia,2632,"398,899,138,574"
1998,Austria,1559,"218,259,904,402"
1998,Azerbaijan,56,"4,446,396,218"
1998,Bahamas,3,"6,833,220,000"
1998,Bahrain,0,"6,183,776,596"
1998,Belarus,3556,"15,222,012,660"
1998,Belgium,2019,"260,601,911,536"
1998,Belize,12,"688,992,450"
1998,Brazil,6922,"863,723,411,633"
1998,Bulgaria,1503,"14,630,992,956"
1998,Canada,3699,"631,813,279,407"
1998,Chile,1031,"81,577,430,181"
1998,Colombia,2052,"98,443,739,941"
1998,Costa Rica,223,"13,617,405,420"
1998,Croatia,1029,"25,432,144,406"
1998,Cuba,2056,"25,736,331,247"
1998,Czech Republic,1613,"66,490,372,105"
1998,Denmark,763,"176,992,000,955"
1998,Ecuador,546,"27,981,896,948"
1998,El Salvador,512,"10,936,669,900"
1998,Estonia,477,"5,617,109,245"
1998,Finland,1228,"133,936,359,591"
1998,France,10534,"1,503,108,739,159"
1998,Georgia,148,"3,613,500,117"
1998,Germany,11654,"2,243,225,519,618"
1998,Greece,403,"144,428,172,835"
1998,Guatemala,201,"19,395,491,993"
1998,Guyana,35,"717,530,683"
1998,Hungary,3245,"48,770,466,839"
1998,Iceland,30,"8,453,704,212"
1998,Ireland,498,"90,082,034,316"
1998,Israel,318,"115,979,230,547"
1998,Italy,4504,"1,266,309,245,009"
1998,Japan,31458,"4,032,509,760,873"
1998,Kazakhstan,4313,"22,135,245,413"
1998,Kiribati,4,"65,334,841"
1998,Kuwait,35,"25,941,929,462"
1998,Kyrgyzstan,509,"1,645,963,750"
1998,Latvia,839,"7,174,985,107"
1998,Lithuania,1553,"11,240,360,898"
1998,Luxembourg,64,"20,209,122,027"
1998,Malta,12,"3,923,637,971"
1998,Mauritius,155,"4,169,664,285"
1998,Mexico,3312,"526,502,129,378"
1998,Netherlands,1519,"432,476,116,419"
1998,New Zealand,574,"56,227,696,195"
1998,Norway,548,"154,165,219,812"
1998,Panama,148,"11,575,486,400"
1998,Paraguay,138,"9,024,567,484"
1998,Philippines,883,"72,207,028,767"
1998,Portugal,556,"123,981,736,420"
1998,Puerto Rico,321,"54,086,400,000"
1998,Republic of Korea,8569,"374,241,351,752"
1998,Romania,2838,"41,976,002,704"
1998,Russian Federation,51518,"270,953,116,950"
1998,Saint Lucia,8,"737,554,872"
1998,Saint Vincent and Grenadines,10,"373,619,852"
1998,Serbia,1460,"18,284,194,680"
1998,Singapore,328,"85,707,636,233"
1998,Slovakia,673,"29,828,899,206"
1998,Slovenia,612,"22,125,435,372"
1998,South Africa,180,"137,774,361,015"
1998,Spain,3261,"617,041,986,858"
1998,Sri Lanka,5518,"15,794,972,847"
1998,Suriname,29,"945,000,000"
1998,Sweden,1231,"266,800,462,899"
1998,Switzerland,1371,"295,045,152,021"
1998,Thailand,4963,"113,675,706,127"
1998,Trinidad and Tobago,171,"6,043,694,330"
1998,Turkmenistan,405,"2,605,688,065"
1998,Ukraine,14789,"41,883,241,472"
1998,United Kingdom,4389,"1,638,511,096,390"
1998,United States,30558,"9,089,168,000,000"
1998,Uruguay,521,"25,385,928,198"
1998,Uzbekistan,1620,"14,988,971,211"
1999,Albania,139,"3,414,760,915"
1999,Antigua and Barbuda,0,"766,198,926"
1999,Argentina,2423,"283,523,000,000"
1999,Armenia,67,"1,845,482,181"
1999,Aruba,9,"1,722,798,883"
1999,Australia,2488,"388,395,162,301"
1999,Austria,1555,"217,185,787,343"
1999,Azerbaijan,54,"4,581,222,442"
1999,Bahamas,6,"7,683,870,000"
1999,Bahrain,17,"6,621,010,372"
1999,Belarus,3397,"12,138,486,532"
1999,Belgium,1857,"260,202,429,150"
1999,Belize,18,"732,732,350"
1999,Brazil,6507,"599,388,579,986"
1999,Bulgaria,1307,"13,495,075,366"
1999,Canada,4074,"676,082,654,641"
1999,Chile,1041,"75,173,794,497"
1999,Colombia,2143,"86,186,158,685"
1999,Costa Rica,233,"14,195,623,425"
1999,Croatia,989,"23,386,945,597"
1999,Cuba,2050,"28,364,615,242"
1999,Cyprus,1,"10,614,455,232"
1999,Czech Republic,1610,"64,867,483,193"
1999,Denmark,762,"177,965,224,621"
1999,Ecuador,616,"19,645,272,636"
1999,El Salvador,515,"11,284,197,000"
1999,Estonia,468,"5,726,897,998"
1999,Finland,1207,"135,225,868,315"
1999,France,10268,"1,492,647,560,196"
1999,Georgia,189,"2,800,024,314"
1999,Germany,11160,"2,199,957,383,337"
1999,Greece,381,"142,540,728,958"
1999,Guatemala,234,"18,318,412,251"
1999,Guyana,163,"694,754,988"
1999,Hungary,3326,"49,170,434,391"
1999,Iceland,31,"8,917,286,036"
1999,Ireland,424,"98,691,849,563"
1999,Israel,368,"117,189,920,212"
1999,Italy,4115,"1,248,563,179,203"
1999,Japan,31115,"4,562,078,822,335"
1999,Kazakhstan,3991,"16,870,817,135"
1999,Kiribati,0,"69,032,258"
1999,Kuwait,46,"30,121,879,435"
1999,Kyrgyzstan,556,"1,249,062,025"
1999,Latvia,763,"7,533,187,605"
1999,Lithuania,1550,"10,972,878,636"
1999,Luxembourg,70,"22,235,929,043"
1999,Malta,27,"4,127,313,818"
1999,Mauritius,174,"4,291,172,816"
1999,Mexico,3327,"600,232,874,043"
1999,Netherlands,1519,"441,975,282,335"
1999,New Zealand,516,"58,762,260,626"
1999,Norway,583,"162,286,003,693"
1999,Panama,143,"12,130,252,200"
1999,Paraguay,161,"8,392,549,702"
1999,Philippines,1043,"82,995,145,792"
1999,Poland,5779,"169,717,677,901"
1999,Portugal,545,"127,465,545,493"
1999,Puerto Rico,289,"57,841,000,000"
1999,Republic of Korea,7075,"485,248,229,337"
1999,Romania,2736,"36,183,003,978"
1999,Russian Federation,56974,"195,905,767,669"
1999,Saint Lucia,8,"775,934,813"
1999,Saint Vincent and Grenadines,6,"390,719,148"
1999,San Marino,2,"1,215,640,315"
1999,Serbia,1571,"18,409,364,147"
1999,Singapore,277,"86,283,126,844"
1999,Slovakia,692,"30,415,095,887"
1999,Slovenia,590,"22,689,994,990"
1999,South Africa,279,"136,631,966,609"
1999,Spain,3220,"633,194,118,900"
1999,Sri Lanka,5619,"15,656,327,860"
1999,Suriname,49,"885,444,186"
1999,Sweden,1220,"270,847,937,645"
1999,Switzerland,1296,"289,912,492,345"
1999,Thailand,5276,"126,668,932,160"
1999,Trinidad and Tobago,139,"6,808,982,521"
1999,Turkmenistan,442,"2,450,686,660"
1999,Ukraine,14363,"31,580,639,045"
1999,United Kingdom,4448,"1,665,623,685,488"
1999,United States,29183,"9,660,624,000,000"
1999,Uruguay,450,"23,983,945,191"
1999,Uzbekistan,1795,"17,078,465,982"
2000,Albania,54,"3,632,043,908"
2000,Antigua and Barbuda,2,"830,158,778"
2000,Argentina,2774,"284,203,750,000"
2000,Armenia,61,"1,911,563,665"
2000,Aruba,10,"1,873,452,514"
2000,Australia,2391,"415,034,227,218"
2000,Austria,1588,"196,799,778,883"
2000,Azerbaijan,62,"5,272,617,196"
2000,Bahamas,11,"8,076,470,000"
2000,Bahrain,29,"9,062,906,915"
2000,Barbados,10,"3,121,500,000"
2000,Belarus,3483,"12,736,856,828"
2000,Belgium,2143,"237,904,919,845"
2000,Belize,18,"832,072,450"
2000,Brazil,6763,"655,420,645,477"
2000,Bulgaria,1383,"13,153,016,531"
2000,Canada,3606,"742,293,448,253"
2000,Chile,1473,"77,860,932,152"
2000,Colombia,2358,"99,886,577,331"
2000,Costa Rica,239,"14,949,514,585"
2000,Croatia,926,"21,774,273,832"
2000,Cuba,1845,"30,565,400,000"
2000,Cyprus,7,"10,183,317,625"
2000,Czech Republic,1649,"61,649,492,817"
2000,Denmark,728,"164,158,800,460"
2000,Ecuador,534,"18,327,764,882"
2000,El Salvador,461,"11,784,927,700"
2000,Estonia,377,"5,685,774,809"
2000,Finland,1165,"125,539,893,127"
2000,France,10849,"1,362,248,940,483"
2000,Georgia,130,"3,057,453,483"
2000,Germany,11073,"1,949,953,934,034"
2000,Greece,382,"130,133,845,771"
2000,Guatemala,182,"19,288,827,159"
2000,Hungary,3269,"47,310,623,887"
2000,Iceland,50,"8,927,140,438"
2000,Ireland,463,"99,853,528,653"
2000,Israel,394,"132,339,311,284"
2000,Italy,4108,"1,141,759,996,315"
2000,Jamaica,3,"8,985,352,832"
2000,Japan,29989,"4,887,519,660,745"
2000,Kazakhstan,4428,"18,291,990,619"
2000,Kiribati,0,"67,254,174"
2000,Kuwait,34,"37,711,864,407"
2000,Kyrgyzstan,510,"1,369,693,171"
2000,Latvia,770,"7,937,758,980"
2000,Lithuania,1631,"11,539,211,480"
2000,Luxembourg,62,"21,263,514,833"
2000,Maldives,0,"624,337,145"
2000,Malta,23,"4,306,192,436"
2000,Mauritius,137,"4,582,555,125"
2000,Mexico,3456,"707,906,744,575"
2000,Montenegro,0,"984,297,589"
2000,Netherlands,1501,"412,807,259,996"
2000,New Zealand,458,"52,622,842,840"
2000,Norway,541,"171,315,639,983"
2000,Panama,143,"12,304,115,000"
2000,Paraguay,154,"8,195,993,231"
2000,Philippines,1403,"81,026,300,311"
2000,Poland,5841,"171,885,598,583"
2000,Portugal,524,"118,358,489,958"
2000,Puerto Rico,305,"61,701,800,000"
2000,Republic of Korea,6444,"561,633,125,840"
2000,Romania,2836,"37,438,527,800"
2000,Russian Federation,56619,"259,708,496,267"
2000,Saint Lucia,14,"784,159,229"
2000,Saint Vincent and Grenadines,5,"396,270,000"
2000,San Marino,1,"1,101,897,918"
2000,Serbia,1543,"6,540,247,190"
2000,Singapore,309,"95,833,932,715"
2000,Slovakia,729,"29,114,875,622"
2000,Slovenia,588,"20,342,201,356"
2000,South Africa,267,"136,361,854,808"
2000,Spain,3394,"595,402,616,547"
2000,Sri Lanka,5252,"16,330,814,180"
2000,Suriname,52,"892,164,394"
2000,Sweden,1131,"259,802,012,617"
2000,Switzerland,1380,"272,055,499,941"
2000,Thailand,5182,"126,392,308,498"
2000,Trinidad and Tobago,166,"8,154,338,233"
2000,Turkmenistan,383,"2,904,662,605"
2000,Ukraine,14467,"31,261,527,363"
2000,United Kingdom,4290,"1,647,951,278,560"
2000,United States,29343,"10,284,779,000,000"
2000,Uruguay,555,"22,823,255,802"
2000,Uzbekistan,1919,"13,760,374,488"
2001,Albania,119,"4,060,758,804"
2001,Antigua and Barbuda,2,"800,740,259"
2001,Argentina,3132,"268,696,750,000"
2001,Armenia,60,"2,118,467,913"
2001,Aruba,4,"1,920,262,570"
2001,Australia,2458,"378,215,090,694"
2001,Austria,1489,"197,337,879,195"
2001,Azerbaijan,317,"5,707,720,391"
2001,Bahamas,1,"8,317,830,000"
2001,Bahrain,23,"8,976,207,713"
2001,Barbados,2,"3,116,650,000"
2001,Belarus,3303,"12,354,820,144"
2001,Belgium,2165,"237,841,968,680"
2001,Belize,19,"871,860,600"
2001,Brazil,7710,"559,372,276,082"
2001,Bulgaria,1314,"14,075,616,789"
2001,Canada,3694,"736,379,777,893"
2001,Chile,1625,"70,979,923,960"
2001,Colombia,2412,"98,203,546,156"
2001,Costa Rica,198,"15,913,363,335"
2001,Croatia,881,"23,289,671,102"
2001,Cuba,1652,"31,682,400,000"
2001,Czech Republic,1623,"67,523,642,262"
2001,Denmark,727,"164,791,416,350"
2001,Ecuador,584,"24,468,324,000"
2001,El Salvador,514,"12,282,533,600"
2001,Estonia,401,"6,245,069,734"
2001,Fiji,36,"1,660,102,346"
2001,Finland,1204,"129,250,111,857"
2001,France,10449,"1,376,465,324,385"
2001,Georgia,100,"3,219,487,747"
2001,Germany,11167,"1,950,648,769,575"
2001,Greece,334,"136,191,353,468"
2001,Grenada,0,"520,444,185"
2001,Guatemala,202,"18,702,802,395"
2001,Guyana,197,"696,281,472"
2001,Hungary,2978,"53,821,315,066"
2001,Iceland,36,"8,136,345,144"
2001,Ireland,488,"109,133,512,304"
2001,Israel,398,"130,706,147,871"
2001,Italy,4030,"1,162,317,852,349"
2001,Jamaica,5,"9,178,016,493"
2001,Japan,29132,"4,303,544,259,843"
2001,Kazakhstan,4377,"22,152,694,162"
2001,Kiribati,0,"63,101,272"
2001,Kuwait,30,"34,890,772,742"
2001,Kyrgyzstan,560,"1,525,112,242"
2001,Latvia,708,"8,350,252,966"
2001,Lithuania,1533,"12,252,498,921"
2001,Luxembourg,73,"21,272,418,792"
2001,Maldives,3,"870,179,739"
2001,Malta,30,"4,331,870,648"
2001,Mauritius,113,"4,536,538,211"
2001,Mexico,3760,"756,706,300,590"
2001,Montenegro,0,"1,159,869,246"
2001,Netherlands,1474,"426,573,601,790"
2001,New Zealand,508,"53,872,425,917"
2001,Norway,549,"174,003,247,439"
2001,Panama,162,"12,502,013,400"
2001,Paraguay,152,"7,662,595,076"
2001,Philippines,1204,"76,262,072,468"
2001,Poland,5855,"190,521,263,343"
2001,Portugal,761,"121,545,880,984"
2001,Puerto Rico,289,"69,208,400,000"
2001,Qatar,23,"17,538,461,538"
2001,Republic of Korea,6911,"533,052,076,314"
2001,Romania,2720,"40,716,836,998"
2001,Russian Federation,56958,"306,602,673,980"
2001,Saint Lucia,7,"743,808,076"
2001,Saint Vincent and Grenadines,8,"430,040,370"
2001,Serbia,1442,"12,267,175,481"
2001,Seychelles,6,"622,262,057"
2001,Singapore,305,"89,286,208,629"
2001,Slovakia,692,"30,703,017,450"
2001,Slovenia,581,"20,875,387,068"
2001,South Africa,384,"121,600,818,310"
2001,Spain,3189,"625,975,838,926"
2001,Sri Lanka,4590,"15,749,753,805"
2001,Suriname,72,"763,465,550"
2001,Sweden,1197,"239,917,320,967"
2001,Switzerland,1338,"278,631,271,391"
2001,Trinidad and Tobago,179,"8,824,873,259"
2001,Turkmenistan,445,"3,534,803,922"
2001,Ukraine,13131,"38,009,344,577"
2001,United Kingdom,4128,"1,621,510,004,318"
2001,United States,30607,"10,621,824,000,000"
2001,Uruguay,499,"20,898,788,417"
2001,Uzbekistan,1914,"11,401,351,420"
2002,Albania,133,"4,435,078,648"
2002,Antigua and Barbuda,0,"814,615,333"
2002,Argentina,3162,"97,724,004,252"
2002,Armenia,74,"2,376,335,048"
2002,Aruba,9,"1,941,094,972"
2002,Australia,2319,"394,486,709,920"
2002,Austria,1553,"213,377,771,504"
2002,Azerbaijan,92,"6,235,795,104"
2002,Bahamas,3,"8,881,160,000"
2002,Bahrain,25,"9,632,155,053"
2002,Barbados,0,"3,169,600,000"
2002,Belarus,3291,"14,594,249,023"
2002,Belgium,2076,"258,860,436,665"
2002,Belize,14,"932,551,850"
2002,Brazil,7697,"507,962,487,700"
2002,Bulgaria,1317,"16,276,456,428"
2002,Canada,3650,"757,950,678,647"
2002,Chile,1603,"69,736,811,435"
2002,Colombia,2379,"97,933,391,976"
2002,Costa Rica,275,"16,504,795,453"
2002,Croatia,874,"26,878,499,206"
2002,Cuba,1606,"33,590,500,000"
2002,Czech Republic,1534,"81,910,771,994"
2002,Denmark,688,"178,635,160,297"
2002,Ecuador,577,"28,548,945,000"
2002,El Salvador,436,"12,664,190,300"
2002,Estonia,371,"7,322,069,511"
2002,Fiji,42,"1,842,691,481"
2002,Finland,1095,"139,552,983,249"
2002,France,10643,"1,494,286,655,374"
2002,Germany,11176,"2,079,136,081,310"
2002,Greece,323,"153,830,947,017"
2002,Grenada,0,"540,336,926"
2002,Guatemala,258,"20,776,669,467"
2002,Guyana,176,"722,460,886"
2002,Hungary,2839,"67,716,887,203"
2002,Iceland,30,"9,207,689,916"
2002,Ireland,449,"127,945,379,258"
2002,Israel,382,"121,069,378,150"
2002,Italy,4069,"1,266,510,634,293"
2002,Jamaica,2,"9,694,169,757"
2002,Japan,29715,"4,115,116,279,070"
2002,Kazakhstan,4240,"24,636,593,223"
2002,Kuwait,45,"38,137,545,245"
2002,Kyrgyzstan,567,"1,605,640,633"
2002,Latvia,670,"9,546,441,564"
2002,Lithuania,1551,"14,278,357,284"
2002,Luxembourg,85,"23,616,328,816"
2002,Maldives,3,"897,031,250"
2002,Malta,19,"4,689,832,690"
2002,Mauritius,131,"4,767,303,154"
2002,Mexico,3826,"772,106,378,935"
2002,Montenegro,0,"1,284,685,051"
2002,Netherlands,1570,"465,368,906,456"
2002,New Zealand,467,"66,627,729,311"
2002,Norway,494,"195,418,347,153"
2002,Panama,160,"12,994,310,400"
2002,Paraguay,177,"6,325,151,760"
2002,Philippines,1301,"81,357,605,642"
2002,Poland,5925,"198,680,637,255"
2002,Portugal,1210,"134,228,697,534"
2002,Puerto Rico,239,"71,623,500,000"
2002,Republic of Korea,8611,"609,020,054,512"
2002,Romania,3067,"46,174,557,556"
2002,Russian Federation,55024,"345,110,438,692"
2002,Saint Lucia,12,"748,346,606"
2002,Saint Vincent and Grenadines,7,"461,883,444"
2002,Serbia,1446,"16,116,843,146"
2002,Seychelles,5,"697,518,248"
2002,Singapore,321,"91,941,192,896"
2002,Slovakia,717,"35,083,608,131"
2002,Slovenia,540,"23,563,576,758"
2002,South Africa,236,"115,748,110,113"
2002,Spain,3372,"705,145,868,624"
2002,Sri Lanka,4382,"16,536,535,647"
2002,Suriname,69,"1,078,402,128"
2002,Sweden,1180,"263,926,220,333"
2002,Switzerland,1446,"301,416,810,214"
2002,Thailand,4902,"134,300,851,255"
2002,Trinidad and Tobago,156,"9,008,273,721"
2002,Turkmenistan,416,"4,461,978,499"
2002,Ukraine,12536,"42,392,896,031"
2002,United Kingdom,4117,"1,768,408,273,381"
2002,United States,31645,"10,977,514,000,000"
2002,Uruguay,675,"13,606,494,599"
2002,Uzbekistan,1576,"9,687,951,055"
2003,Albania,124,"5,746,945,913"
2003,Antigua and Barbuda,1,"855,643,111"
2003,Argentina,3289,"127,586,973,492"
2003,Armenia,59,"2,807,061,009"
2003,Aruba,2,"2,021,301,676"
2003,Australia,2156,"466,294,700,058"
2003,Austria,1456,"261,695,778,781"
2003,Azerbaijan,129,"7,276,013,032"
2003,Bahamas,1,"8,870,090,000"
2003,Bahrain,34,"11,074,822,074"
2003,Barbados,0,"3,274,850,000"
2003,Belarus,3456,"17,827,791,321"
2003,Belgium,2091,"319,002,821,670"
2003,Belize,12,"990,374,050"
2003,Brazil,7839,"558,319,920,832"
2003,Bulgaria,1092,"20,982,685,981"
2003,Canada,3765,"892,380,986,368"
2003,Chile,1654,"75,643,459,840"
2003,Colombia,2269,"94,684,584,163"
2003,Costa Rica,315,"17,195,867,540"
2003,Croatia,865,"34,658,113,497"
2003,Cuba,1499,"35,901,200,000"
2003,Czech Republic,1719,"99,627,140,274"
2003,Denmark,633,"218,095,997,085"
2003,Ecuador,675,"32,432,858,000"
2003,El Salvador,527,"13,243,892,200"
2003,Estonia,342,"9,833,870,709"
2003,Fiji,10,"2,315,935,753"
2003,Finland,1075,"171,071,106,095"
2003,France,10871,"1,840,480,812,641"
2003,Germany,11155,"2,505,733,634,312"
2003,Greece,375,"201,924,270,316"
2003,Grenada,4,"591,018,407"
2003,Guatemala,253,"21,917,706,491"
2003,Guyana,198,"741,929,343"
2003,Hungary,2800,"85,324,771,841"
2003,Iceland,26,"11,316,441,660"
2003,Ireland,454,"164,285,112,867"
2003,Israel,417,"126,864,966,909"
2003,Italy,4075,"1,569,649,661,400"
2003,Jamaica,2,"9,399,447,609"
2003,Japan,31881,"4,445,658,071,222"
2003,Kazakhstan,4321,"30,833,699,703"
2003,Kuwait,44,"47,875,838,926"
2003,Kyrgyzstan,479,"1,919,012,781"
2003,Latvia,604,"11,748,433,157"
2003,Lithuania,1455,"18,802,576,988"
2003,Luxembourg,48,"29,557,325,056"
2003,Maldives,4,"1,052,121,055"
2003,Malta,20,"5,456,583,589"
2003,Mauritius,88,"5,609,831,328"
2003,Mexico,4070,"729,336,319,677"
2003,Montenegro,0,"1,707,710,053"
2003,Netherlands,1502,"571,863,431,151"
2003,New Zealand,519,"88,250,885,550"
2003,Norway,502,"228,752,436,372"
2003,Panama,195,"13,693,981,200"
2003,Paraguay,174,"6,588,103,836"
2003,Philippines,1544,"83,908,206,648"
2003,Poland,5836,"217,513,049,292"
2003,Portugal,1156,"164,964,195,260"
2003,Puerto Rico,262,"74,827,400,000"
2003,Republic of Korea,10898,"680,520,724,062"
2003,Romania,2894,"59,867,801,205"
2003,Russian Federation,51445,"430,347,770,732"
2003,Saint Lucia,10,"823,837,141"
2003,Saint Vincent and Grenadines,4,"481,806,296"
2003,Serbia,1378,"21,188,704,081"
2003,Seychelles,8,"705,704,816"
2003,Singapore,320,"97,001,377,569"
2003,Slovakia,753,"46,731,767,494"
2003,Slovenia,562,"29,697,448,108"
2003,South Africa,256,"175,256,916,996"
2003,Spain,3478,"906,853,273,138"
2003,Sri Lanka,4467,"18,881,765,437"
2003,Suriname,77,"1,271,196,078"
2003,Sweden,1112,"331,108,912,605"
2003,Switzerland,1269,"352,914,820,747"
2003,Thailand,4484,"152,280,653,544"
2003,Trinidad and Tobago,144,"11,305,459,802"
2003,Turkmenistan,377,"5,977,560,877"
2003,Ukraine,12313,"50,132,953,288"
2003,United Kingdom,3979,"2,038,395,102,041"
2003,United States,31477,"11,510,670,000,000"
2003,Uruguay,535,"12,045,631,093"
2003,Uzbekistan,1416,"10,128,112,401"
2004,Albania,146,"7,314,865,176"
2004,Antigua and Barbuda,2,"919,577,148"
2004,Argentina,3121,"164,657,930,453"
2004,Aruba,8,"2,228,279,330"
2004,Australia,2114,"611,904,253,806"
2004,Austria,1422,"300,904,221,505"
2004,Azerbaijan,108,"8,680,472,169"
2004,Bahamas,2,"9,055,290,000"
2004,Bahrain,42,"13,150,166,755"
2004,Barbados,3,"3,514,350,000"
2004,Belgium,1987,"370,885,026,074"
